clip,sample_idx,ts_utc,fix,lat_deg,lon_deg,speed_mph,bearing_raw,year2k,month,day,hour,minute,second
REC20230712-035809-150.mp4,28,2026-04-26T06:18:52+00:00,1,40.8764912,-96.7367242,45,78,26,4,26,6,18,52
REC20230712-035809-150.mp4,29,2026-04-26T06:18:53+00:00,1,40.8764132,-96.7364745,42,78,26,4,26,6,18,53
REC20230712-035809-150.mp4,30,2026-04-26T06:18:54+00:00,1,40.8763407,-96.7362402,40,78,26,4,26,6,18,54
REC20230712-035809-150.mp4,31,2026-04-26T06:18:55+00:00,1,40.876272,-96.7360183,38,78,26,4,26,6,18,55
REC20230712-035809-150.mp4,32,2026-04-26T06:18:56+00:00,1,40.8762062,-96.7358078,36,78,26,4,26,6,18,56
REC20230712-035809-150.mp4,33,2026-04-26T06:18:57+00:00,1,40.8761435,-96.7356042,34,78,26,4,26,6,18,57
REC20230712-035809-150.mp4,34,2026-04-26T06:18:58+00:00,1,40.8760842,-96.7354112,32,78,26,4,26,6,18,58
REC20230712-035809-150.mp4,35,2026-04-26T06:18:59+00:00,1,40.8760298,-96.7352323,30,78,26,4,26,6,18,59
REC20230712-035809-150.mp4,36,2026-04-26T06:19:00+00:00,1,40.8759778,-96.7350632,29,78,26,4,26,6,19,0
REC20230712-035809-150.mp4,37,2026-04-26T06:19:01+00:00,1,40.8759293,-96.7349007,28,78,26,4,26,6,19,1
REC20230712-035809-150.mp4,38,2026-04-26T06:19:02+00:00,1,40.8758813,-96.7347462,27,79,26,4,26,6,19,2
REC20230712-035809-150.mp4,39,2026-04-26T06:19:03+00:00,1,40.8758345,-96.734599,25,78,26,4,26,6,19,3
REC20230712-035809-150.mp4,40,2026-04-26T06:19:04+00:00,1,40.8757902,-96.7344572,25,78,26,4,26,6,19,4
REC20230712-035809-150.mp4,41,2026-04-26T06:19:05+00:00,1,40.8757458,-96.7343143,26,78,26,4,26,6,19,5
REC20230712-035809-150.mp4,42,2026-04-26T06:19:06+00:00,1,40.8756997,-96.7341595,28,78,26,4,26,6,19,6
REC20230712-035809-150.mp4,43,2026-04-26T06:19:07+00:00,1,40.875648,-96.7339888,31,78,26,4,26,6,19,7
REC20230712-035809-150.mp4,44,2026-04-26T06:19:08+00:00,1,40.8755923,-96.7338037,34,78,26,4,26,6,19,8
REC20230712-035809-150.mp4,45,2026-04-26T06:19:09+00:00,1,40.8755318,-96.7336057,36,78,26,4,26,6,19,9
REC20230712-035809-150.mp4,46,2026-04-26T06:19:10+00:00,1,40.8754668,-96.7333973,37,78,26,4,26,6,19,10
REC20230712-035809-150.mp4,47,2026-04-26T06:19:11+00:00,1,40.8754003,-96.7331772,39,78,26,4,26,6,19,11
REC20230712-035809-150.mp4,48,2026-04-26T06:19:12+00:00,1,40.87533,-96.7329475,41,78,26,4,26,6,19,12
REC20230712-035809-150.mp4,49,2026-04-26T06:19:13+00:00,1,40.8752565,-96.732713,42,78,26,4,26,6,19,13
REC20230712-035809-150.mp4,50,2026-04-26T06:19:14+00:00,1,40.8751797,-96.7324657,44,78,26,4,26,6,19,14
REC20230712-035809-150.mp4,51,2026-04-26T06:19:15+00:00,1,40.8751007,-96.7322103,45,78,26,4,26,6,19,15
REC20230712-035809-150.mp4,52,2026-04-26T06:19:16+00:00,1,40.8750213,-96.7319513,46,78,26,4,26,6,19,16
REC20230712-035809-150.mp4,53,2026-04-26T06:19:17+00:00,1,40.87494,-96.7316852,47,78,26,4,26,6,19,17
REC20230712-035809-150.mp4,54,2026-04-26T06:19:18+00:00,1,40.8748572,-96.7314132,48,78,26,4,26,6,19,18
REC20230712-035809-150.mp4,55,2026-04-26T06:19:19+00:00,1,40.874772,-96.731136,49,78,26,4,26,6,19,19
