clip,sample_idx,ts_utc,lat_deg,lon_deg,speed_mph,fix
GRMN0155.MP4,35,2026-04-26T06:16:51+00:00,40.8796761,-96.7735455,59,1
GRMN0155.MP4,36,2026-04-26T06:16:52+00:00,40.8796649,-96.7732341,59,1
GRMN0155.MP4,37,2026-04-26T06:16:53+00:00,40.8796523,-96.7729176,59,1
GRMN0155.MP4,38,2026-04-26T06:16:54+00:00,40.8796397,-96.7726061,59,1
GRMN0155.MP4,39,2026-04-26T06:16:55+00:00,40.8796272,-96.7722893,59,1
GRMN0155.MP4,40,2026-04-26T06:16:56+00:00,40.8796152,-96.7719788,59,1
GRMN0155.MP4,41,2026-04-26T06:16:57+00:00,40.8796037,-96.7716633,58,1
GRMN0155.MP4,42,2026-04-26T06:16:58+00:00,40.8795926,-96.7713556,58,1
GRMN0155.MP4,43,2026-04-26T06:16:59+00:00,40.8795819,-96.7710467,58,1
GRMN0155.MP4,44,2026-04-26T06:17:00+00:00,40.8795707,-96.7707391,57,1
GRMN0155.MP4,45,2026-04-26T06:17:01+00:00,40.8795597,-96.7704333,57,1
GRMN0155.MP4,46,2026-04-26T06:17:02+00:00,40.8795482,-96.7701292,57,1
GRMN0155.MP4,47,2026-04-26T06:17:03+00:00,40.8795361,-96.7698222,57,1
GRMN0155.MP4,48,2026-04-26T06:17:04+00:00,40.8795241,-96.7695219,57,1
GRMN0155.MP4,49,2026-04-26T06:17:05+00:00,40.8795118,-96.7692132,57,1
GRMN0155.MP4,50,2026-04-26T06:17:06+00:00,40.8795004,-96.76891,57,1
GRMN0155.MP4,51,2026-04-26T06:17:07+00:00,40.8794895,-96.7685991,57,1
GRMN0155.MP4,52,2026-04-26T06:17:08+00:00,40.8794805,-96.7682961,57,1
GRMN0155.MP4,53,2026-04-26T06:17:09+00:00,40.8794699,-96.7679879,57,1
GRMN0155.MP4,54,2026-04-26T06:17:10+00:00,40.8794593,-96.7676885,57,1
GRMN0155.MP4,55,2026-04-26T06:17:11+00:00,40.8794489,-96.7673775,57,1
GRMN0155.MP4,56,2026-04-26T06:17:12+00:00,40.8794406,-96.7670738,57,1
GRMN0155.MP4,57,2026-04-26T06:17:13+00:00,40.8794334,-96.7667653,57,1
GRMN0155.MP4,58,2026-04-26T06:17:14+00:00,40.8794262,-96.7664596,57,1
GRMN0155.MP4,59,2026-04-26T06:17:15+00:00,40.8794198,-96.7661509,58,1
GRMN0156.MP4,0,2026-04-26T06:17:16+00:00,40.8794148,-96.7658425,58,1
GRMN0156.MP4,1,2026-04-26T06:17:17+00:00,40.8794099,-96.7655268,58,1
GRMN0156.MP4,2,2026-04-26T06:17:18+00:00,40.8794064,-96.7652143,58,1
GRMN0156.MP4,3,2026-04-26T06:17:19+00:00,40.8794049,-96.7648988,58,1
GRMN0156.MP4,4,2026-04-26T06:17:20+00:00,40.8794046,-96.7645866,58,1
GRMN0156.MP4,5,2026-04-26T06:17:21+00:00,40.8794049,-96.764271,58,1
GRMN0156.MP4,6,2026-04-26T06:17:22+00:00,40.8794054,-96.7639593,58,1
GRMN0156.MP4,7,2026-04-26T06:17:23+00:00,40.8794043,-96.7636453,58,1
GRMN0156.MP4,8,2026-04-26T06:17:24+00:00,40.879402,-96.7633381,58,1
GRMN0156.MP4,9,2026-04-26T06:17:25+00:00,40.8794005,-96.7630352,58,1
GRMN0156.MP4,10,2026-04-26T06:17:26+00:00,40.879401,-96.762731,57,1
GRMN0156.MP4,11,2026-04-26T06:17:27+00:00,40.8794012,-96.7624189,57,1
GRMN0156.MP4,12,2026-04-26T06:17:28+00:00,40.8794006,-96.7621181,57,1
GRMN0156.MP4,13,2026-04-26T06:17:29+00:00,40.8793991,-96.7618129,57,1
GRMN0156.MP4,14,2026-04-26T06:17:30+00:00,40.8793979,-96.761508,57,1
GRMN0156.MP4,15,2026-04-26T06:17:31+00:00,40.8793958,-96.7612037,56,1
GRMN0156.MP4,16,2026-04-26T06:17:32+00:00,40.879395,-96.7609102,55,1
GRMN0156.MP4,17,2026-04-26T06:17:33+00:00,40.8793945,-96.7606134,55,1
GRMN0156.MP4,18,2026-04-26T06:17:34+00:00,40.879394,-96.7603222,55,1
GRMN0156.MP4,19,2026-04-26T06:17:35+00:00,40.8793935,-96.7600244,55,1
GRMN0156.MP4,20,2026-04-26T06:17:36+00:00,40.8793927,-96.7597342,55,1
GRMN0156.MP4,21,2026-04-26T06:17:37+00:00,40.8793921,-96.7594387,55,1
GRMN0156.MP4,22,2026-04-26T06:17:38+00:00,40.8793904,-96.7591462,55,1
GRMN0156.MP4,23,2026-04-26T06:17:39+00:00,40.8793873,-96.758846,55,1
GRMN0156.MP4,24,2026-04-26T06:17:40+00:00,40.8793846,-96.7585517,55,1
GRMN0156.MP4,25,2026-04-26T06:17:41+00:00,40.8793827,-96.7582526,55,1
GRMN0156.MP4,26,2026-04-26T06:17:42+00:00,40.8793823,-96.7579605,55,1
GRMN0156.MP4,27,2026-04-26T06:17:43+00:00,40.8793826,-96.7576636,55,1
GRMN0156.MP4,28,2026-04-26T06:17:44+00:00,40.8793823,-96.7573737,54,1
GRMN0156.MP4,29,2026-04-26T06:17:45+00:00,40.8793816,-96.7570796,55,1
GRMN0156.MP4,30,2026-04-26T06:17:46+00:00,40.8793805,-96.7567844,55,1
GRMN0156.MP4,31,2026-04-26T06:17:47+00:00,40.8793795,-96.7564839,55,1
GRMN0156.MP4,32,2026-04-26T06:17:48+00:00,40.8793782,-96.756189,56,1
GRMN0156.MP4,33,2026-04-26T06:17:49+00:00,40.8793777,-96.7558849,57,1
GRMN0156.MP4,34,2026-04-26T06:17:50+00:00,40.8793774,-96.7555795,57,1
GRMN0156.MP4,35,2026-04-26T06:17:51+00:00,40.8793764,-96.7552602,58,1
GRMN0156.MP4,36,2026-04-26T06:17:52+00:00,40.8793748,-96.7549463,59,1
GRMN0156.MP4,37,2026-04-26T06:17:53+00:00,40.8793736,-96.7546286,59,1
GRMN0156.MP4,38,2026-04-26T06:17:54+00:00,40.8793723,-96.7543152,59,1
GRMN0156.MP4,39,2026-04-26T06:17:55+00:00,40.8793707,-96.7539978,59,1
GRMN0156.MP4,40,2026-04-26T06:17:56+00:00,40.8793674,-96.7536837,59,1
GRMN0156.MP4,41,2026-04-26T06:17:57+00:00,40.8793636,-96.7533747,58,1
GRMN0156.MP4,42,2026-04-26T06:17:58+00:00,40.8793588,-96.7530665,58,1
GRMN0156.MP4,43,2026-04-26T06:17:59+00:00,40.8793509,-96.752757,58,1
GRMN0156.MP4,44,2026-04-26T06:18:00+00:00,40.8793421,-96.7524486,58,1
GRMN0156.MP4,45,2026-04-26T06:18:01+00:00,40.8793329,-96.7521403,58,1
GRMN0156.MP4,46,2026-04-26T06:18:02+00:00,40.8793209,-96.7518331,57,1
GRMN0156.MP4,47,2026-04-26T06:18:03+00:00,40.8793064,-96.751523,57,1
GRMN0156.MP4,48,2026-04-26T06:18:04+00:00,40.8792928,-96.7512181,57,1
GRMN0156.MP4,49,2026-04-26T06:18:05+00:00,40.8792781,-96.7509089,57,1
GRMN0156.MP4,50,2026-04-26T06:18:06+00:00,40.8792603,-96.7506065,57,1
GRMN0156.MP4,51,2026-04-26T06:18:07+00:00,40.8792385,-96.7502971,58,1
GRMN0156.MP4,52,2026-04-26T06:18:08+00:00,40.8792164,-96.7499904,58,1
GRMN0156.MP4,53,2026-04-26T06:18:09+00:00,40.8791915,-96.749678,58,1
