clip,sample_idx,ts_utc,active,lat_hem,lon_hem,lat_deg,lon_deg,hour,minute,second,year,month,day
20260426000323_000142F.MP4,39,2026-04-26T06:04:03+00:00,A,N,W,40.8414185,-96.7404948,6,4,3,26,4,26
20260426000323_000142F.MP4,40,2026-04-26T06:04:05+00:00,A,N,W,40.8414185,-96.7404948,6,4,5,26,4,26
20260426000323_000142F.MP4,41,2026-04-26T06:04:05+00:00,A,N,W,40.8414185,-96.7404948,6,4,5,26,4,26
20260426000323_000142F.MP4,42,2026-04-26T06:04:06+00:00,A,N,W,40.8414185,-96.7404948,6,4,6,26,4,26
20260426000323_000142F.MP4,43,2026-04-26T06:04:08+00:00,A,N,W,40.8414144,-96.7404948,6,4,8,26,4,26
20260426000323_000142F.MP4,44,2026-04-26T06:04:08+00:00,A,N,W,40.8414144,-96.7404948,6,4,8,26,4,26
20260426000323_000142F.MP4,45,2026-04-26T06:04:09+00:00,A,N,W,40.8414103,-96.7404948,6,4,9,26,4,26
20260426000323_000142F.MP4,46,2026-04-26T06:04:10+00:00,A,N,W,40.8414103,-96.7404948,6,4,10,26,4,26
20260426000323_000142F.MP4,47,2026-04-26T06:04:11+00:00,A,N,W,40.8414103,-96.7404948,6,4,11,26,4,26
20260426000323_000142F.MP4,48,2026-04-26T06:04:12+00:00,A,N,W,40.8414103,-96.7404948,6,4,12,26,4,26
20260426000323_000142F.MP4,49,2026-04-26T06:04:13+00:00,A,N,W,40.8414103,-96.7404948,6,4,13,26,4,26
20260426000323_000142F.MP4,50,2026-04-26T06:04:14+00:00,A,N,W,40.8414103,-96.7404948,6,4,14,26,4,26
20260426000323_000142F.MP4,51,2026-04-26T06:04:15+00:00,A,N,W,40.8414062,-96.7404948,6,4,15,26,4,26
20260426000323_000142F.MP4,52,2026-04-26T06:04:16+00:00,A,N,W,40.8414062,-96.7404948,6,4,16,26,4,26
20260426000323_000142F.MP4,53,2026-04-26T06:04:17+00:00,A,N,W,40.8414062,-96.7404948,6,4,17,26,4,26
20260426000323_000142F.MP4,54,2026-04-26T06:04:18+00:00,A,N,W,40.8414062,-96.7404948,6,4,18,26,4,26
20260426000323_000142F.MP4,55,2026-04-26T06:04:19+00:00,A,N,W,40.8414022,-96.7404948,6,4,19,26,4,26
20260426000323_000142F.MP4,56,2026-04-26T06:04:20+00:00,A,N,W,40.8414022,-96.7404948,6,4,20,26,4,26
20260426000323_000142F.MP4,57,2026-04-26T06:04:21+00:00,A,N,W,40.8414022,-96.7404948,6,4,21,26,4,26
20260426000323_000142F.MP4,58,2026-04-26T06:04:22+00:00,A,N,W,40.8413981,-96.7404948,6,4,22,26,4,26
20260426000323_000142F.MP4,59,2026-04-26T06:04:23+00:00,A,N,W,40.8414022,-96.7404948,6,4,23,26,4,26
20260426000423_000143F.MP4,0,2026-04-26T06:04:24+00:00,A,N,W,40.8414022,-96.7404948,6,4,24,26,4,26
20260426000423_000143F.MP4,1,2026-04-26T06:04:25+00:00,A,N,W,40.8414022,-96.7404785,6,4,25,26,4,26
20260426000423_000143F.MP4,2,2026-04-26T06:04:26+00:00,A,N,W,40.8414062,-96.7404785,6,4,26,26,4,26
20260426000423_000143F.MP4,3,2026-04-26T06:04:27+00:00,A,N,W,40.8414062,-96.7404785,6,4,27,26,4,26
20260426000423_000143F.MP4,4,2026-04-26T06:04:28+00:00,A,N,W,40.8414103,-96.7404785,6,4,28,26,4,26
20260426000423_000143F.MP4,5,2026-04-26T06:04:29+00:00,A,N,W,40.8414103,-96.7404785,6,4,29,26,4,26
20260426000423_000143F.MP4,6,2026-04-26T06:04:30+00:00,A,N,W,40.8414103,-96.7404785,6,4,30,26,4,26
20260426000423_000143F.MP4,7,2026-04-26T06:04:31+00:00,A,N,W,40.8414062,-96.7404785,6,4,31,26,4,26
20260426000423_000143F.MP4,8,2026-04-26T06:04:32+00:00,A,N,W,40.84139,-96.7404622,6,4,32,26,4,26
20260426000423_000143F.MP4,9,2026-04-26T06:04:33+00:00,A,N,W,40.8413656,-96.740446,6,4,33,26,4,26
20260426000423_000143F.MP4,10,2026-04-26T06:04:34+00:00,A,N,W,40.8413411,-96.7404297,6,4,34,26,4,26
20260426000423_000143F.MP4,11,2026-04-26T06:04:35+00:00,A,N,W,40.8413167,-96.7404134,6,4,35,26,4,26
20260426000423_000143F.MP4,12,2026-04-26T06:04:36+00:00,A,N,W,40.8412923,-96.7403971,6,4,36,26,4,26
20260426000423_000143F.MP4,13,2026-04-26T06:04:37+00:00,A,N,W,40.8412679,-96.7403809,6,4,37,26,4,26
20260426000423_000143F.MP4,14,2026-04-26T06:04:38+00:00,A,N,W,40.8412435,-96.7403483,6,4,38,26,4,26
20260426000423_000143F.MP4,15,2026-04-26T06:04:40+00:00,A,N,W,40.8411865,-96.7402995,6,4,40,26,4,26
20260426000423_000143F.MP4,16,2026-04-26T06:04:40+00:00,A,N,W,40.8411865,-96.7402995,6,4,40,26,4,26
20260426000423_000143F.MP4,17,2026-04-26T06:04:41+00:00,A,N,W,40.841158,-96.7402832,6,4,41,26,4,26
20260426000423_000143F.MP4,18,2026-04-26T06:04:42+00:00,A,N,W,40.8411296,-96.7402507,6,4,42,26,4,26
20260426000423_000143F.MP4,19,2026-04-26T06:04:44+00:00,A,N,W,40.8410685,-96.7402018,6,4,44,26,4,26
20260426000423_000143F.MP4,20,2026-04-26T06:04:44+00:00,A,N,W,40.8410685,-96.7402018,6,4,44,26,4,26
20260426000423_000143F.MP4,21,2026-04-26T06:04:45+00:00,A,N,W,40.841036,-96.7401693,6,4,45,26,4,26
20260426000423_000143F.MP4,22,2026-04-26T06:04:46+00:00,A,N,W,40.8410116,-96.7401367,6,4,46,26,4,26
20260426000423_000143F.MP4,23,2026-04-26T06:04:47+00:00,A,N,W,40.8409993,-96.7400879,6,4,47,26,4,26
20260426000423_000143F.MP4,24,2026-04-26T06:04:48+00:00,A,N,W,40.8409912,-96.7400553,6,4,48,26,4,26
20260426000423_000143F.MP4,25,2026-04-26T06:04:49+00:00,A,N,W,40.8409912,-96.7400553,6,4,49,26,4,26
20260426000423_000143F.MP4,26,2026-04-26T06:04:50+00:00,A,N,W,40.8409912,-96.7400553,6,4,50,26,4,26
20260426000423_000143F.MP4,27,2026-04-26T06:04:51+00:00,A,N,W,40.8409953,-96.7400553,6,4,51,26,4,26
20260426000423_000143F.MP4,28,2026-04-26T06:04:52+00:00,A,N,W,40.8409953,-96.7400553,6,4,52,26,4,26
20260426000423_000143F.MP4,29,2026-04-26T06:04:53+00:00,A,N,W,40.8409953,-96.7400553,6,4,53,26,4,26
20260426000423_000143F.MP4,30,2026-04-26T06:04:54+00:00,A,N,W,40.8409953,-96.7400553,6,4,54,26,4,26
20260426000423_000143F.MP4,31,2026-04-26T06:04:55+00:00,A,N,W,40.8409953,-96.7400553,6,4,55,26,4,26
20260426000423_000143F.MP4,32,2026-04-26T06:04:56+00:00,A,N,W,40.8409953,-96.7400553,6,4,56,26,4,26
20260426000423_000143F.MP4,33,2026-04-26T06:04:57+00:00,A,N,W,40.8409953,-96.7400553,6,4,57,26,4,26
20260426000423_000143F.MP4,34,2026-04-26T06:04:58+00:00,A,N,W,40.8409993,-96.7400553,6,4,58,26,4,26
20260426000423_000143F.MP4,35,2026-04-26T06:04:59+00:00,A,N,W,40.8410034,-96.7400553,6,4,59,26,4,26
20260426000423_000143F.MP4,36,2026-04-26T06:05:00+00:00,A,N,W,40.8410034,-96.7400553,6,5,0,26,4,26
20260426000423_000143F.MP4,37,2026-04-26T06:05:01+00:00,A,N,W,40.8410034,-96.7400553,6,5,1,26,4,26
