"timeSec","speedMps","rpm","throttlePct","yellowWire","greenWire","obdConnected","arduinoConnected"
-119.536999893188,,,,0,0,0,1
-119.436999988556,,,,0,0,0,1
-119.335999917984,,,,0,0,0,1
-119.236000013351,,,,0,0,0,1
-119.136000108719,,,,0,0,0,1
-119.035000038147,,,,0,0,0,1
-118.934999895096,,,,0,0,0,1
-118.834000062943,,,,0,0,0,1
-118.733999919891,,,,0,0,0,1
-118.634000015259,,,,0,0,1,1
-118.532999944687,0,763,16.1,0,0,1,1
-118.432000112534,0,761,16.1,0,0,1,1
-118.331999969482,0,760,16.1,0,0,1,1
-118.23200006485,0,763,16.1,0,0,1,1
-118.130999994278,0,761,16.1,0,0,1,1
-118.031000089645,0,762,16.1,0,0,1,1
-117.930000019073,0,766,16.1,0,0,1,1
-117.830000114441,0,768,16.1,0,0,1,1
-117.729000043869,0,772,16.1,0,0,1,1
-117.628999900818,0,763,16.1,0,0,1,1
-117.528000068665,0,762,16.1,0,0,1,1
-117.427999925613,0,760,16.1,0,0,1,1
-117.328000020981,0,758,16.1,0,0,1,1
-117.226999950409,0,759,16.1,0,0,1,1
-117.127000045776,0,758,16.1,0,0,1,1
-117.025999975204,0,756,16.1,0,0,1,1
-116.926000070572,0,753,16.1,0,0,1,1
-116.825,0,752,16.1,0,0,1,1
-116.725000095367,0,750,16.1,0,0,1,1
-116.624999952316,0,750,16.1,0,0,1,1
-116.523999881744,0,748,16.1,0,0,1,1
-116.423999977112,0,748,16.1,0,0,1,1
-116.32299990654,0,743,16.1,0,0,1,1
-116.223000001907,0,748,16.1,0,0,1,1
-116.123000097275,0,749,16.1,0,0,1,1
-116.022000026703,0,744,16.1,0,0,1,1
-115.921999883652,0,748,16.1,0,0,1,1
-115.821000051498,0,750,16.1,0,0,1,1
-115.720999908447,0,756,16.1,0,0,1,1
-115.620000076294,0,754,16.1,0,0,1,1
-115.519999933243,0,754,16.1,0,0,1,1
-115.42000002861,0,748,16.1,1,1,1,1
-115.318999958038,0,750,16.1,1,1,1,1
-115.219000053406,0,750,16.1,1,1,1,1
-115.117999982834,0,753,16.1,0,0,1,1
-115.018000078201,0,752,16.1,0,0,1,1
-114.917000007629,0,755,16.1,0,0,1,1
-114.817000102997,0,755,16.1,0,0,1,1
-114.716000032425,0,757,16.1,0,0,1,1
-114.615999889374,0,759,16.1,1,1,1,1
-114.515999984741,0,762,16.1,1,1,1,1
-114.414999914169,0,766,16.1,1,1,1,1
-114.314000082016,0,758,16.1,1,1,1,1
-114.213000011444,0,745,16.1,1,1,1,1
-114.113000106812,0,736,16.1,1,1,1,1
-114.01299996376,0,734,16.1,1,1,1,1
-113.911999893188,0,731,16.1,1,1,1,1
-113.811999988556,0,731,16.1,1,1,1,1
-113.710999917984,0,730,16.1,1,1,1,1
-113.611000013351,0,726,16.1,1,1,1,1
-113.50999994278,0,718,16.1,1,1,1,1
-113.410000038147,0,723,16.1,1,1,1,1
-113.308999967575,0,729,16.1,0,0,1,1
-113.209000062943,0,734,16.1,0,0,1,1
-113.108999919891,0,747,16.1,0,0,1,1
-113.008000087738,0,750,16.1,0,0,1,1
-112.907999944687,0,758,16.1,0,0,1,1
-112.807000112534,0,761,16.1,0,0,1,1
-112.706999969482,0,764,16.1,0,0,1,1
-112.605999898911,0,770,16.1,0,0,1,1
-112.505999994278,0,769,16.1,0,0,1,1
-112.406000089645,0,768,16.1,0,0,1,1
-112.305000019073,0,770,16.1,0,0,1,1
-112.205000114441,0,771,15.7,0,0,1,1
-112.104000043869,0,773,15.7,0,0,1,1
-112.003999900818,0,768,15.7,0,0,1,1
-111.903999996185,0,769,15.7,1,1,1,1
-111.802999925613,0,763,15.7,1,1,1,1
-111.703000020981,0,758,15.7,1,1,1,1
-111.601999950409,0,752,16.1,0,0,1,1
-111.501000118256,0,749,16.1,0,0,1,1
-111.400999975204,0,746,16.1,0,0,1,1
-111.301000070572,0,745,16.1,0,0,1,1
-111.2,0,745,16.1,1,1,1,1
-111.100000095367,0,740,16.1,0,0,1,1
-110.999000024796,0,736,16.1,0,0,1,1
-110.898999881744,0,744,16.1,0,0,1,1
-110.798000049591,0,742,16.1,0,0,1,1
-110.69799990654,0,743,16.1,0,0,1,1
-110.597000074387,0,748,16.1,0,0,1,1
-110.496999931335,0,748,16.1,0,0,1,1
-110.397000026703,0,748,16.1,0,0,1,1
-110.295999956131,0,751,16.1,0,0,1,1
-110.196000051498,0,758,16.1,0,0,1,1
-110.094999980927,0,759,16.1,0,0,1,1
-109.993999910355,0,759,16.1,0,0,1,1
-109.894000005722,0,761,15.7,0,0,1,1
-109.79299993515,0,761,15.7,0,0,1,1
-109.693000030518,0,762,15.7,0,0,1,1
-109.591999959946,0,763,15.7,0,0,1,1
-109.492000055313,0,761,15.7,0,0,1,1
-109.391999912262,0,762,15.7,0,0,1,1
-109.291000080109,0,760,15.7,0,0,1,1
-109.190999937057,0,762,15.7,0,0,1,1
-109.090000104904,0,764,15.7,0,1,1,1
-108.989999961853,0,763,15.7,0,1,1,1
-108.888999891281,0,759,15.7,0,1,1,1
-108.788999986649,0,755,15.7,0,1,1,1
-108.689000082016,0,749,15.7,0,0,1,1
-108.588000011444,0,749,15.7,0,0,1,1
-108.488000106812,0,746,15.7,0,0,1,1
