"timeSec","segment","latitude","longitude"
10.6,1,40.8111465928225,-96.6894027963281
10.7,1,40.8111465928225,-96.6894027963281
10.8,1,40.8111465928225,-96.6894027963281
10.9,1,40.8111465928225,-96.6894027963281
11,1,40.8111465928225,-96.6894027963281
11.1,1,40.8111465928225,-96.6894027963281
11.2,1,40.8111465928225,-96.6894027963281
11.3,1,40.8111465928225,-96.6894027963281
11.4,1,40.8111465928225,-96.6894027963281
11.5,1,40.8111465928225,-96.6894027963281
11.6,1,40.8111465928225,-96.6894027963281
11.7,1,40.8111465928225,-96.6894027963281
11.8,1,40.8111465928225,-96.6894027963281
11.9,1,40.8111465928225,-96.6894027963281
12,1,40.8111465928225,-96.6894027963281
12.1,1,40.8111465928225,-96.6894027963281
12.2,1,40.8111465928225,-96.6894027963281
12.3,1,40.8111465928225,-96.6894027963281
12.4,1,40.8111465928225,-96.6894027963281
12.5,1,40.8111465928225,-96.6894027963281
12.6,1,40.8111465928225,-96.6894027963281
12.7,1,40.8111465928225,-96.6894027963281
12.8,1,40.8111465928225,-96.6894027963281
12.9,1,40.8111465928225,-96.6894027963281
13,1,40.8111465928225,-96.6894027963281
13.1,1,40.8111465928225,-96.6894027963281
13.2,1,40.8111465928225,-96.6894027963281
13.3,1,40.8111465928225,-96.6894027963281
13.4,1,40.8111465928225,-96.6894027963281
13.5,1,40.8111465928225,-96.6894027963281
13.6,1,40.8111465928225,-96.6894027963281
13.7,1,40.8111465928225,-96.6894027963281
13.8,1,40.8111465928225,-96.6894027963281
13.9,1,40.8111465928225,-96.6894027963281
14,1,40.8111465928225,-96.6894027963281
14.1,1,40.8111465928225,-96.6894027963281
14.2,1,40.8111465928225,-96.6894027963281
14.3,1,40.8111465928225,-96.6894027963281
14.4,1,40.8111465928225,-96.6894027963281
14.5,1,40.8111465928225,-96.6894027963281
14.6,1,40.8111465928225,-96.6894027963281
14.7,1,40.8111465928225,-96.6894027963281
14.8,1,40.8111465928225,-96.6894027963281
14.9,1,40.8111465928225,-96.6894027963281
15,1,40.8111465928225,-96.6894027963281
15.1,1,40.8111465928225,-96.6894027963281
15.2,1,40.8111465928225,-96.6894027963281
15.3,1,40.8111465928225,-96.6894027963281
15.4,1,40.8111465928225,-96.6894027963281
15.5,1,40.8111465928225,-96.6894027963281
15.6,1,40.8111465928225,-96.6894027963281
15.7,1,40.8111465928225,-96.6894027963281
15.8,1,40.8111465928225,-96.6894027963281
15.9,1,40.8111465928225,-96.6894027963281
16,1,40.8111465928225,-96.6894027963281
16.1,1,40.8111465928225,-96.6894027963281
16.2,1,40.8111465928225,-96.6894027963281
16.3,1,40.8111465928225,-96.6894027963281
16.4,1,40.8111465928225,-96.6894027963281
16.5,1,40.8111465928225,-96.6894027963281
16.6,1,40.8111465928225,-96.6894027963281
16.7,1,40.8111465928225,-96.6894027963281
16.8,1,40.8111465928225,-96.6894027963281
16.9,1,40.8111465928225,-96.6894027963281
17,1,40.8111465928225,-96.6894027963281
17.1,1,40.8111465928225,-96.6894027963281
17.2,1,40.8111465928225,-96.6894027963281
17.3,1,40.8111465928225,-96.6894027963281
17.4,1,40.8111465928225,-96.6894027963281
17.5,1,40.8111465928225,-96.6894027963281
17.6,1,40.8111465928225,-96.6894027963281
17.7,1,40.8111465928225,-96.6894027963281
17.8,1,40.8111465928225,-96.6894027963281
17.9,1,40.8111465928225,-96.6894027963281
18,1,40.8111465928225,-96.6894027963281
18.1,1,40.8111465928225,-96.6894027963281
18.2,1,40.8111465928225,-96.6894027963281
18.3,1,40.8111465928225,-96.6894027963281
18.4,1,40.8111465928225,-96.6894027963281
18.5,1,40.8111465928225,-96.6894027963281
18.6,1,40.8111465928225,-96.6894027963281
18.7,1,40.8111465928225,-96.6894027963281
18.8,1,40.8111465928225,-96.6894027963281
18.9,1,40.8111465928225,-96.6894027963281
19,1,40.8111465928225,-96.6894027963281
19.1,1,40.8111465928225,-96.6894027963281
19.2,1,40.8111465928225,-96.6894027963281
19.3,1,40.8111465928225,-96.6894027963281
19.4,1,40.8111465928225,-96.6894027963281
19.5,1,40.8111465928225,-96.6894027963281
19.6,1,40.8111465928225,-96.6894027963281
19.7,1,40.8111465928225,-96.6894027963281
19.8,1,40.8111465928225,-96.6894027963281
19.9,1,40.8111465928225,-96.6894027963281
20,1,40.8111465928225,-96.6894027963281
20.1,1,40.8111465928225,-96.6894027963281
20.2,1,40.8111465928225,-96.6894027963281
20.3,1,40.8111465928225,-96.6894027963281
20.4,1,40.8111465928225,-96.6894027963281
20.5,1,40.8111465928225,-96.6894027963281
20.6,1,40.8111465928225,-96.6894027963281
20.7,1,40.8111465928225,-96.6894027963281
20.8,1,40.8111465928225,-96.6894027963281
20.9,1,40.8111465928225,-96.6894027963281
21,1,40.8111465928225,-96.6894027963281
21.1,1,40.8111465928225,-96.6894027963281
21.2,1,40.8111465928225,-96.6894027963281
21.3,1,40.8111465928225,-96.6894027963281
21.4,1,40.8111465928225,-96.6894027963281
21.5,1,40.8111465928225,-96.6894027963281
21.6,1,40.8111465928225,-96.6894027963281
21.7,1,40.8111465928225,-96.6894027963281
21.8,1,40.8111465928225,-96.6894027963281
21.9,1,40.8111465928225,-96.6894027963281
22,1,40.8111465928225,-96.6894027963281
22.1,1,40.8111465928225,-96.6894027963281
22.2,1,40.8111465928225,-96.6894027963281
22.3,1,40.8111465928225,-96.6894027963281
22.4,1,40.8111465928225,-96.6894027963281
22.5,1,40.8111465928225,-96.6894027963281
22.6,1,40.8111465928225,-96.6894027963281
22.7,1,40.8111465928225,-96.6894027963281
22.8,1,40.8111465928225,-96.6894027963281
22.9,1,40.8111465928225,-96.6894027963281
23,1,40.8111465928225,-96.6894027963281
23.1,1,40.8111465928225,-96.6894027963281
23.2,1,40.8111465928225,-96.6894027963281
23.3,1,40.8111465928225,-96.6894027963281
23.4,1,40.8111465928225,-96.6894027963281
23.5,1,40.8111465928225,-96.6894027963281
23.6,1,40.8111465928225,-96.6894027963281
23.7,1,40.8111465928225,-96.6894027963281
23.8,1,40.8111465928225,-96.6894027963281
23.9,1,40.8111465928225,-96.6894027963281
24,1,40.8111465928225,-96.6894027963281
24.1,1,40.8111465928225,-96.6894027963281
24.2,1,40.8111465928225,-96.6894027963281
24.3,1,40.8111465928225,-96.6894027963281
24.4,1,40.8111465928225,-96.6894027963281
24.5,1,40.8111465928225,-96.6894027963281
24.6,1,40.8111465928225,-96.6894027963281
24.7,1,40.8111465928225,-96.6894027963281
24.8,1,40.8111465928225,-96.6894027963281
24.9,1,40.8111465928225,-96.6894027963281
25,1,40.8111465928225,-96.6894027963281
25.1,1,40.8111465928225,-96.6894027963281
25.2,1,40.8111465928225,-96.6894027963281
25.3,1,40.8111465928225,-96.6894027963281
25.4,1,40.8111465928225,-96.6894027963281
25.5,1,40.8111465928225,-96.6894027963281
25.6,1,40.8111465928225,-96.6894027963281
25.7,1,40.8111465928225,-96.6894027963281
25.8,1,40.8111465928225,-96.6894027963281
25.9,1,40.8111465928225,-96.6894027963281
26,1,40.8111465928225,-96.6894027963281
26.1,1,40.8111465928225,-96.6894027963281
26.2,1,40.8111465928225,-96.6894027963281
26.3,1,40.8111465928225,-96.6894027963281
26.4,1,40.8111465928225,-96.6894027963281
26.5,1,40.8111465928225,-96.6894027963281
26.6,1,40.8111465928225,-96.6894027963281
26.7,1,40.8111465928225,-96.6894027963281
26.8,1,40.8111465928225,-96.6894027963281
26.9,1,40.8111465928225,-96.6894027963281
27,1,40.8111465928225,-96.6894027963281
27.1,1,40.8111465928225,-96.6894027963281
27.2,1,40.8111465928225,-96.6894027963281
27.3,1,40.8111465928225,-96.6894027963281
27.4,1,40.8111465928225,-96.6894027963281
27.5,1,40.8111465928225,-96.6894027963281
27.6,1,40.8111465928225,-96.6894027963281
27.7,1,40.8111465928225,-96.6894027963281
27.8,1,40.8111465928225,-96.6894027963281
27.9,1,40.8111465928225,-96.6894027963281
28,1,40.8111465928225,-96.6894027963281
28.1,1,40.8111465928225,-96.6894027963281
28.2,1,40.8111465928225,-96.6894027963281
28.3,1,40.8111465928225,-96.6894027963281
28.4,1,40.8111465928225,-96.6894027963281
28.5,1,40.8111465928225,-96.6894027963281
28.6,1,40.8111465928225,-96.6894027963281
28.7,1,40.8111465928225,-96.6894027963281
28.8,1,40.8111465928225,-96.6894027963281
28.9,1,40.8111465928225,-96.6894027963281
29,1,40.8111465928225,-96.6894027963281
29.1,1,40.8111465928225,-96.6894027963281
29.2,1,40.8111465928225,-96.6894027963281
29.3,1,40.8111465928225,-96.6894027963281
29.4,1,40.8111465928225,-96.6894027963281
29.5,1,40.8111465928225,-96.6894027963281
29.6,1,40.8111465928225,-96.6894027963281
29.7,1,40.8111465928225,-96.6894027963281
29.8,1,40.8111465928225,-96.6894027963281
29.9,1,40.8111465928225,-96.6894027963281
30,1,40.8111465928225,-96.6894027963281
30.1,1,40.8111465928225,-96.6894027963281
30.2,1,40.8111465928225,-96.6894027963281
30.3,1,40.8111465928225,-96.6894027963281
30.4,1,40.8111465928225,-96.6894027963281
30.5,1,40.8111465928225,-96.6894027963281
30.6,1,40.8111465928225,-96.6894027963281
30.7,1,40.8111465928225,-96.6894027963281
30.8,1,40.8111465928225,-96.6894027963281
30.9,1,40.8111465928225,-96.6894027963281
31,1,40.8111465928225,-96.6894027963281
31.1,1,40.8111465928225,-96.6894027963281
31.2,1,40.8111465928225,-96.6894027963281
31.3,1,40.8111465928225,-96.6894027963281
31.4,1,40.8111465928225,-96.6894027963281
31.5,1,40.8111465928225,-96.6894027963281
31.6,1,40.8111465928225,-96.6894027963281
31.7,1,40.8111465928225,-96.6894027963281
31.8,1,40.8111465928225,-96.6894027963281
31.9,1,40.8111465928225,-96.6894027963281
32,1,40.8111465928225,-96.6894027963281
32.1,1,40.8111465928225,-96.6894027963281
32.2,1,40.8111465928225,-96.6894027963281
